cityName,stateName,countyName,department,division,jobTitle,jobType,level,jobCategoryOne,jobCategoryTwo,jobCategoryThree,jobCategoryFour,jobCategoryFive,positionCount,monthlySal-low,monthlySal-high,hrlyWage-low,hrlyWage-high,dateUpdated,isClosedPromotional
Banning,California,Riverside County,Administrative Services,Division 1,Accountant,Full-Time,Mid,Financial,Customer Service,,,,,,,,,,
Banning,California,Riverside County,Administrative Services,Division 2,Accountant,Full-Time,Mid,Financial,Customer Service,,,,,,,,,,
Banning,California,Riverside County,Administrative Services,Division 2,Accountant,Full-Time,Mid,Customer Service,,,,,,,,,,,
Banning,California,Riverside County,Administrative Services,,Accountant II,Full-Time,Mid,Financial,,,,,,,,,,,
Banning,California,Riverside County,Administrative Services,,Accounting Specialist,Full-Time,Mid,Financial,,,,,,,,,,,
Banning,California,Riverside County,Administrative Services,,Administrative Services Director,Full-Time,Executive,Financial,,,,,,,,,,,
Banning,California,Riverside County,Administrative Services,,Buyer,Full-Time,Mid,Financial,,,,,,,,,,,
Banning,California,Riverside County,Administrative Services,,Customer Service & Billing Manager,Full-Time,Senior,Customer Service,,,,,,,,,,,
Banning,California,Riverside County,Administrative Services,,Deputy Finance Director,Full-Time,Senior,Financial,,,,,,,,,,,
Banning,California,Riverside County,Administrative Services,,Deputy Human Resources Director / Deputy City Manager,Full-Time,Senior,Human Resources,,,,,,,,,,,
Banning,California,Riverside County,Administrative Services,,Financial Services Specialist,Full-Time,Mid,Financial,,,,,,,,,,,
Banning,California,Riverside County,Administrative Services,,Human Resources Technician,Full-Time,Entry,Human Resources,,,,,,,,,,,
Banning,California,Riverside County,Administrative Services,,Human Resources Technician,Part-Time,Entry,Human Resources,,,,,,,,,,,
Banning,California,Riverside County,Administrative Services,,Purchasing Manager,Full-Time,Senior,Human Resources,,,,,,,,,,,
Banning,California,Riverside County,City Clerk,,Deputy City Clerk,Full-Time,Senior,City Clerk,,,,,,,,,,,
Banning,California,Riverside County,Community Development,,Assistant Planner,Full-Time,Mid,Planning,,,,,,,,,,,
Banning,California,Riverside County,Community Development,,Associate Planner,Full-Time,Mid,Planning,,,,,,,,,,,
Banning,California,Riverside County,Community Development,,Building Permit Specialist,Full-Time,Mid,Building,,,,,,,,,,,
Banning,California,Riverside County,Community Development,,Code Compliance Officer,Full-Time,Mid,Code Enforcement,,,,,,,,,,,
Banning,California,Riverside County,Community Development,,Community Development Director,Full-Time,Executive,Community Development,,,,,,,,,,,
Banning,California,Riverside County,Community Development,,Development Project Coordinator,Full-Time,Mid,Community Development,,,,,,,,,,,
Banning,California,Riverside County,Community Development,,Economic Development Manager,Full-Time,Senior,Economic Development,,,,,,,,,,,
Banning,California,Riverside County,Community Development,,Senior Code Compliance Officer,Full-Time,Mid,Code Enforcement,,,,,,,,,,,
Banning,California,Riverside County,Community Development,,Senior Planner,Full-Time,Mid,Planning,,,,,,,,,,,
Banning,California,Riverside County,Community Services,,Assistant Pool Manager,Part-Time,Mid,Recreation,,,,,,,,,,,
Banning,California,Riverside County,Community Services,,Bus Driver,Full-Time,Mid,Transit,,,,,,,,,,,
Banning,California,Riverside County,Community Services,,Cashier,Part-Time,Entry,Community Services,,,,,,,,,,,
Banning,California,Riverside County,Community Services,,Community Center Caretaker,Full-Time,Entry,Community Services,,,,,,,,,,,
Banning,California,Riverside County,Community Services,,Community Services Director,Full-Time,Executive,Community Services,,,,,,,,,,,
Banning,California,Riverside County,Community Services,,Community Services Manager,Full-Time,Senior,Community Services,,,,,,,,,,,
Banning,California,Riverside County,Community Services,,Dial-A-Ride Driver,Part-Time,Entry,Transit,,,,,,,,,,,
Banning,California,Riverside County,Community Services,,Executive Secretary,Full-Time,Mid,Community Services,,,,,,,,,,,
Banning,California,Riverside County,Community Services,,Executive Secretary - Recreation,Full-Time,Mid,Recreation,,,,,,,,,,,
Banning,California,Riverside County,Community Services,,Lead Bus Driver,Full-Time,Mid,Transit,,,,,,,,,,,
Banning,California,Riverside County,Community Services,,Lifeguard,PT-Seasonal,Entry,Recreation,,,,,,,,,,,
Banning,California,Riverside County,Community Services,,Management Analyst,Full-Time,Mid,Community Services,,,,,,,,,,,
Banning,California,Riverside County,Community Services,,Office Specialist,Full-Time,Entry,Community Services,,,,,,,,,,,
Banning,California,Riverside County,Community Services,,Office Specialist - Recreation,Full-Time,Entry,Community Services,,,,,,,,,,,
Banning,California,Riverside County,Community Services,,Pool Manager,PT-Seasonal,Mid,Recreation,,,,,,,,,,,
Banning,California,Riverside County,Community Services,,Program Coordinator,Full-Time,Mid,Community Services,,,,,,,,,,,
Banning,California,Riverside County,Community Services,,Receptionist,Full-Time,Entry,Community Services,,,,,,,,,,,
Banning,California,Riverside County,Community Services,,Receptionist - Recreation,Full-Time,Entry,Community Services,,,,,,,,,,,
Banning,California,Riverside County,Community Services,,Recreation Coordinator,Full-Time,Mid,Recreation,,,,,,,,,,,
Banning,California,Riverside County,Community Services,,Recreation Leader,Part-Time,Mid,Recreation,,,,,,,,,,,
Banning,California,Riverside County,Community Services,,Senior Recreation Leader,Full-Time,Mid,Recreation,,,,,,,,,,,
Banning,California,Riverside County,Community Services,,Sports Specialist,Full-Time,Mid,Recreation,,,,,,,,,,,
Banning,California,Riverside County,Community Services,,Transit Field Supervisor,Full-Time,Mid,Transit,,,,,,,,,,,
Banning,California,Riverside County,Community Services,,Transit Manager,Full-Time,Senior,Transit,,,,,,,,,,,
Banning,California,Riverside County,Community Services,,Transit Specialist,Full-Time,Mid,Transit,,,,,,,,,,,
Banning,California,Riverside County,Electric Utility,,Apprentice Electric Meter Test Technician,Full-Time,Mid,Utilities-Electric,,,,,,,,,,,
Banning,California,Riverside County,Electric Utility,,Assistant Electric Service Planner,Full-Time,Mid,Utilities-Electric,,,,,,,,,,,
Banning,California,Riverside County,Electric Utility,,Associate Electrical Engineer,Full-Time,Mid,Utilities-Electric,,,,,,,,,,,
Banning,California,Riverside County,Electric Utility,,Electric Meter Test Technician,Full-Time,Mid,Utilities-Electric,,,,,,,,,,,
Banning,California,Riverside County,Electric Utility,,Electric Operations & Maintenance Manager,Full-Time,Senior,Utilities-Electric,,,,,,,,,,,
Banning,California,Riverside County,Electric Utility,,Electric Service Planner,Full-Time,Mid,Utilities-Electric,,,,,,,,,,,
Banning,California,Riverside County,Electric Utility,,Electric Services Worker,Full-Time,Mid,Utilities-Electric,,,,,,,,,,,
Banning,California,Riverside County,Electric Utility,,Electric Utility Director,Full-Time,Executive,Utilities-Electric,,,,,,,,,,,
Banning,California,Riverside County,Electric Utility,,Power Resources & Revenue Administrator,Full-Time,Senior,Utilities-Electric,,,,,,,,,,,
Banning,California,Riverside County,Electric Utility,,Powerline Apprentice,Full-Time,Mid,Utilities-Electric,,,,,,,,,,,
Banning,California,Riverside County,Electric Utility,,Powerline Crew Supervisor,Full-Time,Mid,Utilities-Electric,,,,,,,,,,,
Banning,California,Riverside County,Electric Utility,,Powerline Technician,Full-Time,Mid,Utilities-Electric,,,,,,,,,,,
Banning,California,Riverside County,Electric Utility,,Public Benefits Coordinator,Full-Time,Mid,Utilities-Electric,,,,,,,,,,,
Banning,California,Riverside County,Electric Utility,,Senior Electric Service Planner,Full-Time,Mid,Utilities-Electric,,,,,,,,,,,
Banning,California,Riverside County,Electric Utility,,Senior Electrical Engineer,Full-Time,Mid,Utilities-Electric,,,,,,,,,,,
Banning,California,Riverside County,Electric Utility,,Substation Test Technician,Full-Time,Mid,Utilities-Electric,,,,,,,,,,,
Banning,California,Riverside County,Electric Utility,,Utility Financial Analyst,Full-Time,Mid,Utilities-Electric,,,,,,,,,,,
Banning,California,Riverside County,Electric Utility,,Utility Financial Analyst,Full-Time,Mid,Utilities-Electric,,,,,,,,,,,
Banning,California,Riverside County,Electric Utility,,Utility Services Assistant,Full-Time,Mid,Utilities-Electric,,,,,,,,,,,
Banning,California,Riverside County,Office of City Manager,,Cable Services Specialist,Full-Time,Mid,Cable/Telecom Services,,,,,,,,,,,
Banning,California,Riverside County,Office of City Manager,,City Manager,Full-Time,Executive,Administration-City Manager's Office,,,,,,,,,,,
Banning,California,Riverside County,Office of City Manager,,Information Technology Analyst,Full-Time,Mid,Information Technology,,,,,,,,,,,
Banning,California,Riverside County,Office of City Manager,,Information Technology Analyst II,Full-Time,Mid,Information Technology,,,,,,,,,,,
Banning,California,Riverside County,Office of City Manager,,Multimedia Specialist,Full-Time,Mid,Public Information/Media,,,,,,,,,,,
Banning,California,Riverside County,Office of City Manager,,Public Information Officer,Full-Time,Mid,Public Information/Media,,,,,,,,,,,
Banning,California,Riverside County,Police,,Community Services Officer,Full-Time,Mid,Police,,,,,,,,,,,
Banning,California,Riverside County,Police,,Lead Public Safety Dispatcher,Full-Time,Mid,Police,,,,,,,,,,,
Banning,California,Riverside County,Police,,Police Assistant I,Full-Time,Entry,Police,,,,,,,,,,,
Banning,California,Riverside County,Police,,Police Assistant II,Full-Time,Mid,Police,,,,,,,,,,,
Banning,California,Riverside County,Police,,Police Captain,Full-Time,Senior,Police,,,,,,,,,,,
Banning,California,Riverside County,Police,,Police Chief,Full-Time,Executive,Police,,,,,,,,,,,
Banning,California,Riverside County,Police,,Police Corporal,Full-Time,Mid,Police,,,,,,,,,,,
Banning,California,Riverside County,Police,,Police Lieutenant,Full-Time,Mid,Police,,,,,,,,,,,
Banning,California,Riverside County,Police,,Police Master Sergeant,Full-Time,Mid,Police,,,,,,,,,,,
Banning,California,Riverside County,Police,,Police Officer,Full-Time,Mid,Police,,,,,,,,,,,
Banning,California,Riverside County,Police,,Police Recruit / Trainee,Full-Time,Entry,Police,,,,,,,,,,,
Banning,California,Riverside County,Police,,Police Staff / Master Sergeant,Full-Time,Mid,Police,,,,,,,,,,,
Banning,California,Riverside County,Police,,Public Safety Dispatcher,Full-Time,Mid,Police,,,,,,,,,,,
Banning,California,Riverside County,Airport,,Airport Attendant,Part-Time,Entry,Airport,,,,,,,,,,,
Banning,California,Riverside County,Public Works,,Associate Civil Engineer,Full-Time,Mid,Public Works,,,,,,,,,,,
Banning,California,Riverside County,Public Works,,Building Maintenance Specialist,Full-Time,Entry,Public Works,,,,,,,,,,,
Banning,California,Riverside County,Public Works,,City Engineer,Full-Time,Senior,Public Works,,,,,,,,,,,
Banning,California,Riverside County,Public Works,,City Maintenance Worker,Full-Time,Mid,Public Works,,,,,,,,,,,
Banning,California,Riverside County,Public Works,,Engineering Services Assistant,Full-Time,Entry,Public Works,,,,,,,,,,,
Banning,California,Riverside County,public Works,,Executive Secretary,Full-Time,Mid,Public Works,,,,,,,,,,,
Banning,California,Riverside County,Public Works,,Maintenance Worker,Full-Time,Mid,Public Works,,,,,,,,,,,
Banning,California,Riverside County,Public Works,,Management Analyst,Full-Time,Mid,Public Works,,,,,,,,,,,
Banning,California,Riverside County,Public Works,,Motor Sweeper Operator,Full-Time,Mid,Public Works,,,,,,,,,,,
Banning,California,Riverside County,Public Works,,Public Works Analyst,Full-Time,Mid,Public Works,,,,,,,,,,,
Banning,California,Riverside County,Public Works,,Public Works Director / City Engineer,Full-Time,Executive,Public Works,,,,,,,,,,,
Banning,California,Riverside County,Public Works,,Public Works Inspector,Full-Time,Mid,Public Works,,,,,,,,,,,
Banning,California,Riverside County,Public Works,,Public Works Superintendent,Full-Time,Mid,Public Works,,,,,,,,,,,
Banning,California,Riverside County,Public Works,,Senior Civil Engineer,Full-Time,Mid,Public Works,,,,,,,,,,,
Banning,California,Riverside County,Public Works,,Senior Maintenance Worker,Full-Time,Mid,Public Works,,,,,,,,,,,
Banning,California,Riverside County,Public Works,,Warehouse Services Specialist,Full-Time,Mid,Public Works,,,,,,,,,,,
Banning,California,Riverside County,Public Works,,Wastewater Collection System Supervisor,Full-Time,Mid,Wastewater,,,,,,,,,,,
Banning,California,Riverside County,Public Works,,Wastewater Collection System Technician,Full-Time,Mid,Wastewater,,,,,,,,,,,
Banning,California,Riverside County,Public Works,,Water / Wastewater Superintendent,Full-Time,Senior,Wastewater,,,,,,,,,,,
Banning,California,Riverside County,Public Works,,Water Construction Crew Lead,Full-Time,Mid,Utilities-Water,,,,,,,,,,,
Banning,California,Riverside County,Public Works,,Water Crew Supervisor (Distribution Specialist),Full-Time,Mid,Utilities-Water,,,,,,,,,,,
Banning,California,Riverside County,Public Works,,Water Crew Supervisor (Production Specialist),Full-Time,Mid,Utilities-Water,,,,,,,,,,,
Banning,California,Riverside County,Public Works,,Water Meter Crew Lead,Full-Time,Mid,Utilities-Water,,,,,,,,,,,
Banning,California,Riverside County,Public Works,,Water Production Operator I,Full-Time,Mid,Utilities-Water,,,,,,,,,,,
Banning,California,Riverside County,Public Works,,Water Production Operator II,Full-Time,Mid,Utilities-Water,,,,,,,,,,,
Banning,California,Riverside County,Public Works,,Water Services Worker,Full-Time,Mid,Utilities-Water,,,,,,,,,,,
Banning,California,Riverside County,Public Works,,Water Valve Flushing Crew Lead,Full-Time,Mid,Utilities-Water,,,,,,,,,,,
Banning,California,Riverside County,Public Works,,Work Release Crew Leader,Full-Time,Mid,Utilities-Water,,,,,,,,,,,
Beaumont,California,Riverside County,Administration,,Administrative Services Director,Full-Time,Executive,Administration-City Manager's Office,,,,,1,,,,,,
Beaumont,California,Riverside County,Administration,,Assistant City Manager,Full-Time,Senior,Administration-City Manager's Office,,,,,1,,,,,,
Beaumont,California,Riverside County,Administration,,Information Technology Manager,Full-Time,Senior,Information Technology,,,,,1,,,,,,
Beaumont,California,Riverside County,Administration,,City Manager,Full-Time,Executive,Administration-City Manager's Office,,,,,1,,,,,,
